id,tweet,class,prediction
60,virgin america virginamerica good home texa moodlight,positive,positive
61,unit unit compens new cloth bet,negative,neutral
62,airway usairway three hour hold disconnect conf ebhset need home sunday interview,negative,negative
63,virgin america virginamerica need receipt flight chang send one,neutral,neutral
64,airway usairway book flight yesterday didnt receiv email confirm dividend number regist pleas help,negative,neutral
65,delta jetblu mother overheard personnel ask attend passeng realli knew go attend said,negative,negative
66,delta jetblu fleet fleek smh,neutral,neutral
67,southwest southwestair thank twitter say someon unless follow southwestair follow twitter,negative,neutral
68,southwest southwestair got call rdu baggag except help get fli back home,negative,negative
69,airway usairway agent hold connect arriv late flight min departur time min late flight flt gate disappoint,negative,negative
70,unit unit staff rather effici got solut freak littl limbo air,positive,negative
71,delta jetblu love fli great servic,positive,positive
72,unit unit thank,positive,positive
73,southwest southwestair flight nwn taxi flytpa prior flight fly_nashvill,neutral,neutral
74,virgin america virginamerica got set thank,positive,positive
75,american americanair attach origin ticket flight number experi thought would terribl,negative,neutral
76,southwest southwestair weather system outag hope everyth goe smooth thank follow,positive,positive
77,unit unit generic form ton field ask info alreadi expect premier platinum anoth servicefail,negative,neutral
78,southwest southwestair open onlin applic fall intern posit throughout compani appli via,neutral,neutral
79,delta jetblu know guy super busi flight,neutral,positive
80,southwest southwestair yes pleas,positive,neutral
81,delta jetblu custom servic agent bonni amaz phone deserv promot,positive,positive
82,delta jetblu follow pls,neutral,neutral
83,delta jetblu realli,neutral,positive
84,airway usairway pleas post wait time hold two hour,negative,negative
85,southwest southwestair ahah____ love,positive,positive
86,american americanair happen put gear jeopardi step take protect custom item,negative,negative
87,american americanair thank alway start vacat,positive,positive
88,american americanair emxlyy wheel broken got swear,negative,negative
89,unit unit click link got confus,neutral,neutral
90,american americanair americanview new paint scheme look great usairway,positive,positive
91,unit unit everi unit flight saipan guam adventur never know capeair old plane oper,positive,neutral
92,delta jetblu sat plane hour dull insan ijustwanttobeinboston thanksdc,negative,negative
93,delta jetblu tri harder take winner attitud work,neutral,negative
94,airway usairway still sit feel bad handl,negative,negative
95,american americanair left someth flight ord sfo earlier today believ plane back ord pleas help,neutral,neutral
96,unit unit good job cle tpa schedul inch snow,positive,positive
97,unit sent thank unit goodenufmoth pleas confirm number reflight book problem need thank,neutral,positive
98,delta jetblu would like actual email address follow thank,neutral,positive
99,southwest southwestair thank bringbacktheluvtordu miami directflight,positive,positive
100,airway usairway tip get hotel airlin get even though told make flight,negative,negative
101,american americanair great thank keep good work,positive,positive
102,american americanair peopl phone see differ poor process,negative,negative
103,southwest southwestair cancel flightl flight ewr flt also cancel flightl flight lga yet unit fli time wth,negative,negative
104,american americanair record locat oaaret got email rebook got notif flight cancel flightl,negative,negative
105,unit unit flyeia yes said took hour,negative,negative
106,delta jetblu excit saw fli ionlyflyblu,positive,neutral
107,delta jetblu hahah ____ love fli jet blue tho,positive,positive
108,unit unit thank great servic newark seat fix seat daughter fab land fort myer,positive,positive
109,airway usairway heard monterey airport close due thick fog updat,neutral,negative
110,unit unit pleas get plane,negative,neutral
111,american americanair itunesmus put bad mood angri sinc spagnuolo coach ram,negative,negative
112,delta jetblu thank,positive,positive
113,unit unit guy name oti ord know customerservic abl get bag upgrad sure,positive,neutral
114,unit unit relat flight book problem number myyb name clarita jaramillo mejia thank,neutral,neutral
115,airway usairway americanair nvm bad hour half thank,negative,negative
116,airway usairway look today,neutral,neutral
117,southwest southwestair crew great today travel lauderdal louisvill kid thank,positive,positive
118,virgin america virginamerica give silver status month,neutral,neutral
119,airway usairway hold time book award travel gold status hour count day call usairwaysfail americanair,negative,negative
120,southwest southwestair updat emerg land jacksonvill right parentsonboard,neutral,neutral
121,american americanair thank,positive,positive
122,american americanair need help reserv follow detail thank,neutral,positive
123,southwest southwestair imagin dragon ticket left tomorrow velourl utah would love avail,neutral,neutral
124,virgin america virginamerica know would amaz awesom bos fll pleas want fli,positive,positive
125,unit unit see two flight two seat morn get,neutral,neutral
126,american americanair thank get back frequent weather advisori updat throughout day,neutral,positive
127,delta jetblu vegecomgirl,neutral,neutral
128,virgin america virginamerica americanair help flight get old battl cancer need treatment freyabevan_fund,neutral,neutral
129,american americanair hour get back back sat plane hour flight cancel flightl one small drink,negative,negative
130,airway usairway thank apolog,neutral,positive
131,airway usairway worri someth wrong flight consid fli earlier,neutral,negative
132,airway usairway americanair honeymoon delay day gas cap screw flight frustrat,negative,negative
133,unit unit rather truth flight forc sit day tri get home,negative,negative
134,unit unit get follow fli christma,neutral,neutral
135,southwest southwestair best custom servic,positive,positive
136,delta jetblu yesterday way ewr fll take wheelsup jetbluesofli,positive,neutral
137,american americanair snack left purpos team help morn desk phone,positive,negative
138,delta jetblu social media take flight fli likeagirl brand lesson learn smm brand,neutral,neutral
139,delta jetblu board back airplan first like boss sosmart jetblu frequentflyerappreci alsoyayforsnack,positive,neutral
140,american americanair cancel flight flight say caus weather condit flight cancel flight,negative,negative
141,southwest southwestair crew san sfo brilliant rita hilari know great flight,positive,positive
142,airway usairway meantim sleep park bench dadeland thank guy,negative,positive
143,american americanair hand sanit bathroom flight,neutral,neutral
144,delta jetblu thank take care drink sinc flight entertain work goodcustomerservic,positive,positive
145,delta jetblu make sens bad,neutral,negative
146,southwest southwestair easi fix let busi select actual board board pre board,neutral,negative
147,delta jetblu month ago flight book cancel flight flight book problem separ flight differ occas,neutral,neutral
148,american americanair aww cool nice know still head one fave,positive,positive
149,delta jetblu think rli know goin suppos leav,negative,neutral
150,american americanair check app said flight move back day explan answer number,negative,negative
151,delta jetblu thought thing sent,neutral,neutral
152,unit unit need book two one way order fli unaccompani minor,neutral,negative
153,virgin america virginamerica delay,negative,positive
154,southwest southwestair tri get cust relat anoth use,neutral,negative
155,delta jetblu good miami termin,neutral,neutral
156,unit unit thank chees platter abund entertain option time flew,positive,positive
157,unit unit thank look get back via glad hear bag final deliv thank,positive,positive
158,unit unit effici layout kiosk bag drop line would help definit space addit friend help staff,negative,negative
159,american americanair thank repli tri figur get dfw,positive,positive
160,unit unit rep rebook wast time poor communic,negative,negative
161,delta jetblu get sunday due weather monday busi crazi,negative,negative
162,airway usairway still ignor question usairway consist provid poor custom servic,negative,negative
163,delta jetblu could begin blueti relationship lifeneedsfrost,positive,neutral
164,southwest southwestair hour delay make nice offer reschedul next day,negative,negative
165,airway usairway make reserv,neutral,neutral
166,southwest southwestair receiv email reso email associ swa account info sister fraud pleas,negative,neutral
167,unit unit custom servic terribl,negative,negative
168,unit unit want book multi citi fare mile flight option pay flight mile ump visa thank,neutral,neutral
169,unit unit would great get callback agent disconnect tri put hold wait connectfor min,negative,negative
170,virgin america virginamerica add pillow instead lie flat seat first class arm race,neutral,neutral
171,unit unit cancel flight flight anytim keep night,positive,negative
172,virgin america virginamerica jezziegoldz would rough trip luckili virginamerica flight weather,positive,neutral
173,american americanair thank cancel flight flight put husband life danger drive weather safetyfirst,positive,neutral
174,airway usairway like lie bad weather stuck day home owe,negative,negative
175,american americanair delay bag friend lisa pafe got bag day costa rica issu updat system,negative,negative
176,american americanair thank respons book tri number airway number time pick,neutral,neutral
177,american americanair time cancel flightl,neutral,negative
178,american americanair usairway wonder flight pre dawn nice start day,positive,neutral
179,unit unit perfect thank,positive,positive
180,unit unit thnx,positive,positive
181,american americanair zoom sauc potato stuff vile mean vile,negative,neutral
182,airway usairway hubbi layov dfw cxl flt pls help get home sooner room bwi phl today,neutral,neutral
183,unit unit flight plane sfo den basic time,positive,negative
184,airway usairway look like bag rescu thank,positive,positive
185,unit unit ad one,neutral,neutral
186,delta jetblu pleas start fli guyana soon,neutral,neutral
187,southwest southwestair thank get back nashvill big thank pilot baltimor fli snow land ice,positive,positive
188,delta jetblu thank final gate,positive,positive
189,airway usairway flight land hour ago still gotten gate hold uppp ____ imtir wannagohom,negative,negative
190,delta jetblu joke miss connect flight minut last flight day hold minut,negative,negative
191,unit unit luke_mcintosh nah,neutral,neutral
192,airway usairway mobil board pass email,neutral,neutral
193,southwest southwestair got messag part flight cancel flightl rebook onlin nobodi answer phone call help,negative,negative
194,american americanair aateam thank work rigor weather condit,positive,positive
195,unit unit thank quick repli fill form idnumb hopetogetanswersoon,positive,positive
196,airway usairway plane crew profession courteous gate agent fluster,positive,positive
197,delta jetblu think summer new nantucket servic broadway world,neutral,positive
198,southwest southwestair birthday destinationdragon could get tix,neutral,neutral
199,delta jetblu thank free flyfi make alreadi great airlin even better jetblu boston westpalmbeach flybett,positive,positive
200,airway usairway happen frequent flyer mile earn merger complet,neutral,negative
201,delta jetblu great idea cometoaustin,positive,neutral
202,airway usairway ing hate,negative,negative
203,delta jetblu l_burley best,positive,positive
204,southwest southwestair swadivers readi inspir,positive,neutral
205,unit unit wast time baggag claim thank dfw ground crew check bag without actual check space frustrat,negative,negative
206,southwest southwestair lunch time got call answer,neutral,negative
207,unit unit flt cancel flightl get email happen courtesi phn call book diff airlin amp citi,negative,negative
208,unit unit robcnyc see inform board process get group amp reason,negative,negative
209,southwest southwestair continu airlin choic unit frustrat travel day experienc delay gate chang,negative,negative
210,unit unit omg thank u___,positive,positive
211,unit unit thx respons final got min wait talk someon,positive,negative
212,delta jetblu incident sheila jfk deserv rais awesom,positive,positive
213,southwest southwestair gate attend mccarran ref vega dalla went beyond long day frustrat welcom,positive,positive
214,american americanair photo,neutral,neutral
215,unit unit concern address,negative,neutral
216,delta jetblu ceo battl appeas passeng wall street lake wyli pilot,neutral,neutral
217,southwest southwestair gate agent gave wrong departur info caus miss flight stand nothappi,negative,negative
218,unit unit final got help appreci,positive,positive
219,unit unit economi plus cabin also qualifi premium cabin,neutral,neutral
220,american americanair flight get rest wait anoth hour receiv autom phone call neveragain,negative,negative
221,southwest southwestair tri enter rapid reward contest link facebook browser kept pop secur warn,negative,neutral
222,southwest southwestair flight everyon nice help hope get fli thank,positive,positive
223,unit unit agent work slowli rebook peopl wast entir day stt,negative,negative
224,delta welllllll jetblu fleet fleek,neutral,neutral
225,delta jetblu disabl seat row get board earlier,neutral,neutral
226,unit unit jedediahbila travel tri cheer bila,neutral,neutral
227,airway usairway thank glad head home great peopl call center,positive,positive
228,delta jetblu mani choic south border know everi airlin equal lowest price best valu,positive,neutral
229,unit unit shame flex ticket transfer rule even call neurosurgeri icu enough,negative,negative
230,airway usairway guess weather rough tri sort miss air mile day suggest,negative,negative
231,delta jetblu havana cuba share love photographi leav pictur behind well deliv much need item flyingitforward,neutral,positive
232,delta jetblu cours,neutral,positive
233,unit unit airlin flight need make hold plane,neutral,negative
234,delta jetblu shocker flight delay hour thank remind switch delta,negative,positive
235,delta jetblu readi disneyworld rundisney princesshalf,positive,neutral
236,american americanair love american airlin,positive,positive
237,unit unit roundtrip ticket dramat cheaper virgin pretti pricey via unit match,neutral,neutral
238,southwest southwestair thank get look like bwi sjd servic stop aug case cant find one date flight,neutral,negative
239,delta jetblu thank respons next flight flight,positive,positive
240,american americanair redeem aadavantag mile lan flight,neutral,neutral
241,southwest southwestair sign,positive,neutral
242,delta jetblu want help find seat quot term condit jetbluefail,negative,neutral
243,delta jetblu idea novemb decemb travel open,neutral,neutral
244,unit unit yes still know told might flight one confirm,negative,neutral
245,southwest southwestair got tsa pre check amp put acct board pass flight updat,negative,neutral
246,delta jetblu phone agent see flight see onlin chang ticket even pay frustrat jetblu,negative,negative
247,unit unit nope told time home sleep airport even though assur would get room,negative,negative
248,unit unit line denver rebook due weather issu better,negative,negative
249,delta jetblu thank use phone instead comput work thx,positive,positive
250,american americanair hang what new,neutral,neutral
251,american americanair hahahaha crazi well anoth night airport,negative,negative
252,virgin america virginamerica minus minut elev silver upgrad window open freeneversuck,positive,neutral
253,unit unit spend afternoon mia fault loung inconveni,negative,neutral
254,southwest southwestair fli chicago lax phx spot lax phx airport fli back chicago,neutral,positive
255,unit unit offer voucher switch flight voucher offer doesnt exist amp gate agent switch delay flight,negative,negative
256,unit unit flt departur time chang five time last minut figur solut announc,negative,negative
257,delta jetblu thank,positive,positive
258,delta jetblu ________ yall realli better american airlin though,positive,positive
259,virgin america virginamerica anoth rep kick butt naelah repres team beauti thank,positive,positive
260,unit unit tourist wonder super tide tide centuri french coast,neutral,neutral
261,airway usairway flight dfw cancel flightl today,neutral,negative
262,airway usairway look like lost anoth custom strand cgqueen clt vow never fli smoothtransit,negative,negative
263,airway usairway pdquigley progress good luck patrick,neutral,neutral
264,southwest southwestair fortunemagazin alway tell everyon fli southwest congratul,positive,neutral
265,american americanair final got someon phone worri,negative,neutral
266,unit unit henc ask custom servic phone number speak real person get sort,negative,negative
267,american americanair thank,positive,positive
268,delta jetblu best track deal special flight offer like intern option,neutral,positive
269,american americanair rebook due weather need chang reserv fli instead,neutral,negative
270,airway usairway thank,positive,positive
271,american americanair inch,neutral,neutral
272,southwest southwestair hey southwest see imaginedragon atlanta friend never love taiwan,neutral,positive
273,airway usairway want clog alreadi crowd line special meal request someon sort vegetarianproblem,neutral,negative
274,southwest southwestair awesom first time fli destinationdragon,neutral,positive
275,virgin america virginamerica realli experi hope forc check small carri noth empti cabin space board,negative,negative
276,delta jetblu love guys___,positive,positive
277,southwest southwestair sent,neutral,neutral
278,unit unit wow deal plus seat avail easi chang make custom happi,positive,negative
279,unit unit admit rather good year still got hook peac,positive,neutral
280,southwest southwestair show love companion flight pleas thank,positive,positive
281,southwest hour delay short southwestair brendanpshannon brendan sorri keep wait air short,negative,negative
282,delta jetblu expand nantucket aviat,neutral,neutral
283,delta jetblu thank,positive,positive
284,delta jetblu love guy sooooooo much ridicul appreci servic,positive,positive
285,southwest southwestair free watch daytona boss,neutral,neutral
286,delta jetblu far less pain come avi,positive,neutral
287,southwest southwestair sent way thank help,positive,positive
288,delta jetblu pleas come indianapoli,positive,neutral
289,delta jetblu great see redsox plane remind _ni side side jfk catsanddogslivingtogeth,positive,neutral
290,unit unit worst,negative,negative
291,unit unit termin gate flt take termin gate swiss air,neutral,negative
292,american americanair award air mile yes go take vacat thanksamericanairlin,positive,neutral
293,delta jetblu analystdoc unfortun avail option current system sorri guy certain fail fix plz,negative,neutral
294,american americanair suppos cancel flight onlin want lose fund ticket help,negative,negative
295,american americanair delay connect pns,neutral,negative
296,american americanair status itinerari say request red mean,neutral,neutral
297,southwest southwestair happi final put southwestairlin board pass passbook make life much easier,positive,positive
298,american americanair mani miss connect alreadi delay flight final board soon,negative,negative
299,delta jetblu home airport count badg system account say flight taken year,neutral,neutral
300,airway usairway tyvm usair happi night,positive,negative
301,airway usairway even singl unreason human planet earth excus treatment,negative,negative
302,unit unit taxi bhx_offici depart newark liberti airport,neutral,neutral
303,southwest southwestair follow back info,neutral,neutral
304,southwest southwestair sev ppl offic receiv apolog mile delay apolog select ppl got noth,negative,negative
305,american americanair still patient wait respons complaint email fri normal respons time,negative,negative
306,unit unit yes plenti seat avail vicki thoma refus give one million mile flyer,negative,negative
307,southwest southwestair realiz wrong departur date thank make chang easi,positive,positive
308,unit unit flight attend superben super help find bag left flight today excel custom servic name fit,positive,negative
309,unit unit dad book orbitz due weather make airport help,neutral,negative
310,airway usairway tri use twitter also gave help inform thank anyway,negative,negative
311,unit unit still frustrat gave seat amp promis travel certif withheld explan,negative,negative
312,delta jetblu fleet fleek,neutral,neutral
313,unit unit sorri end air flight thank though get back,positive,positive
314,airway usairway tri get book reserv system let day ridicul,negative,negative
315,delta jetblu chanc actual fli charleston today cold raini weather south place,positive,neutral
316,unit unit never frustrat convers unit speak spanish courier compani bag,negative,negative
317,airway usairway take offlin would love info locat lost bag help appreci,negative,negative
318,american americanair first ride new new interior seat video nice improv newplanesmel,positive,positive
319,airway usairway fyi custom servic rep carol absolut delight pleasant rebook lightn speed thank,positive,negative
320,delta jetblu would fli somewher hotter puerto rico come lol,neutral,neutral
321,delta jetblu need anybodi els,positive,neutral
322,airway usairway chang correct last name via reserv alreadi said chang ticket name,neutral,neutral
323,virgin america virginamerica issu persist,negative,positive
324,unit unit thank,positive,positive
325,delta jetblu good perspect safeti concern express point arriv airport communicationiskey,negative,neutral
326,american americanair thank,positive,positive
327,unit unit help girlfriend ami lloyd go miss flt zurich fault need golf cart meet ord,negative,negative
328,southwest southwestair best airlin one better onelov southwest bestairlin,positive,positive
329,delta jetblu selfi,positive,neutral
330,delta jetblu two delay littl proactiv communic goe long way howhardcanthatreallyb,negative,negative
331,american americanair love flight back mia lhr great crew thank,positive,positive
332,american americanair locat code thank,neutral,positive
333,american americanair time awesom flight great job american,positive,positive
334,southwest southwestair constant provid wonder view servic southwestluv,positive,positive
335,delta jetblu sylvi good morn sylvi great flight yourock thank jetblu mxo henrikwagn jetbluerock,positive,positive
336,american americanair call hour reschedul flight dfw due weather even let stay hold,negative,negative
337,southwest southwestair left comput plane two week late flightr found sent greatservic happi custom,positive,negative
338,unit unit need land ewr baggag claim file sent employe droppeditoffyet,negative,negative
339,airway usairway xna tsa precheck would nice system knew,negative,negative
340,unit unit truli drunk uncl board believ gate agent overhead full reserv aisl,negative,negative
341,delta jetblu thank quick repli want make sure account,positive,positive
342,airway usairway seem unlik without crew board,negative,negative
343,american americanair driver servic get employe work bad weather like hospit etc badmgmt americanairlin,negative,negative
344,delta jetblu guy rock,positive,positive
345,airway usairway wait airplan total hour take flight today usual happen,negative,negative
346,american americanair possibl chang number passeng flight book problem let chang,negative,neutral
347,unit unit jsumiyasu thank unit ground staff put last seat last flight home late flight still home,positive,positive
348,unit unit priceless unit strand daughter hare unit zero keep safe alon plastic chair unit air,negative,neutral
349,southwest southwestair prop las employe work ref gate oppos fli las futur ___,positive,negative
350,airway usairway lol,positive,neutral
351,southwest appreci repli southwestair luxclark sorri keep wait laura agent short,positive,positive
352,american americanair flight number,neutral,neutral
353,airway usairway tri nashvill london idea would good time fli nashvill right americanair,neutral,neutral
354,airway usairway alreadi spent min today handl minor child shame treat year old girl like,negative,negative
355,airway usairway appreci respons,positive,positive
356,american americanair let serious unhappycustom,negative,negative
357,american americanair guy get rid function put reserv hold hour see,negative,negative
358,american americanair thank,positive,positive
359,delta jetblu offer hot tea coffe gate guy make wonder ever flown airlin,positive,positive
360,unit unit curios flight arrang pilot notifi lot pilot arriv yet announc,neutral,negative
361,airway usairway luggag delay look compens sinc know charg forgot,negative,negative
362,southwest southwestair thank respons flight time pass rebook,negative,positive
363,southwest southwestair jason gate san made afternoon southwestairlin stellarservic thank,positive,positive
364,unit unit airlin joke friend trap houston sinc sat flight sight unitedworstev trappedhouston,negative,negative
365,unit unit hubbi made skin teeth,positive,neutral
366,american americanair offer cot sleep cancel flightl flight fuck cot hotel like suppos provid,negative,negative
367,delta jetblu head buffalo trade cold boston colder buffalo mayb caribbean next time,positive,positive
368,unit unit alway make cross countri flight rad hemispheresmag babi flier charlott thtimemonthsold,positive,neutral
369,southwest southwestair sorri sat plane hour wait engin fix got luggag lost,negative,negative
370,american americanair confus web site complic order process typic fli southwestair,negative,neutral
371,unit unit connect ord exact plane check carri appar taken amp left chicago pretti ridicul,negative,negative
372,southwest southwestair got cover thank,positive,positive
373,airway usairway yes confirm number,neutral,neutral
374,delta jetblu abc inflight channel sharktank,neutral,neutral
375,american americanair miss flight american airlin gave ticket well passeng ticket away fault,negative,neutral
376,american americanair cvgairport get togeth perfect combin delay cancel flightlat,neutral,negative
377,unit unit thx conf mqxc amp mpwnc help appreci,positive,positive
378,unit unit fli sfo lax sal clo connect time lax enough time collect bag recheck,neutral,negative
379,delta jetblu sale pleas soon need tan,neutral,neutral
380,american americanair cheerupd say call center understaf,negative,negative
381,american americanair kudo captain crew handl fustrat peopl deal prevent issu shortcom maint,positive,positive
382,unit unit yaayi yay prom,neutral,neutral
383,delta jetblu fleet fleek lol,neutral,neutral
384,airway usairway usairway use aadvantag number connect usairway book ticket friend benefit account,neutral,neutral
385,delta jetblu rough idea januari flight made avail,neutral,neutral
386,american americanair found midnight last night would think agent lax could relay info bag flt,negative,negative
387,southwest southwestair great flight great view,positive,positive
388,unit unit thank rude custom servic hour delay realli help time wise afternoon meet hello delta,negative,negative
389,unit unit intern flight get new eta air,negative,neutral
390,virgin america virginamerica cool pictur anoth virginamerica plane wing site,positive,positive
391,unit unit sure,negative,neutral
392,american americanair thank great night team,positive,positive
393,american americanair help said chnge retrn flght sinc miss connect sat amp pickng phone hve hrs left,negative,negative
394,american lol great answer americanair jayfranceschi agent check passeng quick possibl appreci patienc,neutral,positive
395,airway usairway huge prop parizad checkin sacramento help friday get home airlin delay,positive,negative
396,american americanair aex still go,neutral,neutral
397,unit unit stand still pilot paperwork fix min problem fix min ago flight delay,negative,negative
398,unit unit refund vacat get free room night make make sleep dia,positive,negative
399,american americanair thank deliveri status,positive,positive
400,american americanair much status million mile revenu first class ticket sit coach thank rude staff,negative,neutral
401,southwest southwestair refer,neutral,neutral
402,american americanair send gate agent talk joke airlin thank ruin vacat neverflyaaagain,negative,negative
403,american americanair could guy follow yall pleas,neutral,neutral
404,american americanair worri even though talk seat assign,positive,negative
405,unit unit mechan delay occur houston earlier today flight ord,negative,neutral
406,virgin america virginamerica thank,positive,positive
407,delta jetblu love free wifi legroom seattlebound,positive,neutral
408,delta jetblu session present one belov travel paulgordonbrown see love much,positive,positive
409,american americanair wait line hour san antonio bare move amp two agent front amp least behind,negative,negative
410,american americanair thank keep updat hope make either connect killeen,positive,positive
411,unit unit baldordash rebook arriv hour late flightr last year hrs san diego inflight entertain,negative,negative
412,virgin america virginamerica great deal alreadi think trip australia amp even gone trip yet,positive,positive
413,southwest southwestair stick fli free southwest goe son work wonder compani mom fli free,positive,positive
414,unit unit first complaint file feb day still respons disappoint surpris,negative,negative
415,airway usairway final spoke someon email refund dept love guy hour line told dice suck,negative,negative
416,american americanair offer autom call back option agent avail call amp sit hold onholdforday,negative,negative
417,virgin america virginamerica love graphic,positive,positive
418,southwest southwestair add flight account creat,neutral,neutral
419,delta jetblu excit time ahead ___,positive,positive
420,virgin america virginamerica pleas add frequenc pdx portland,neutral,neutral
421,unit unit gate agent club staff got prioriti standbi next might minor disast travelingwithsmallkid,neutral,positive
422,unit unit thank noth atlanta loung say sure noth termin,negative,negative
423,unit unit flight omaha chicago rout nyc seat partner separ pleas fix res ilchp,negative,neutral
424,unit unit instead wait plane ottawa never came back home tri tomorrow suitcas still lost,negative,negative
425,american americanair boston airport problem agent honor voucher one number rub,negative,negative
426,american americanair alway better find equip inop ground air safetyfirst,negative,neutral
427,airway usairway alreadi four time,negative,negative
428,delta jetblu flight jfk sfo pure awesom mint class tim attend best airlin take note,positive,positive
429,delta jetblu gari serv fll airport counter realli true blue make feel home even jetblu flight delayedl,positive,negative
430,unit unit thank info alreadi knew,neutral,positive
431,american americanair snow ice forecast dfw chang polici reserv hold wed morn leeway,neutral,neutral
432,airway usairway gate supervisor ask superior name respons receiv ceo americanairlin merger,neutral,negative
433,southwest southwestair offer cdn border town incent fli sinc exchang rate hurt customerappreci gaincustom keepem,neutral,negative
434,southwest southwestair impress hour delay flight equip failur compens offer,neutral,negative
435,delta stahhppp jetblu fleet fleek,neutral,neutral
436,american americanair understand,neutral,neutral
437,delta jetblu flt delay,neutral,negative
438,virgin america virginamerica best custom servic rep world irmafromdalla take cake,positive,positive
439,delta jetblu fleet fleek,neutral,neutral
440,airway usairway still air deic plane miss connect custom servic help hope catch next flight,positive,negative
441,airway usairway worst custom servic still provid answer even drove back clt airport rude amp unaccept fail,negative,negative
442,unit unit flight cancel flight need help reflight book problem,negative,negative
443,unit unit cours would like hepl kid reason hold past hour,negative,negative
444,southwest southwestair thank excel respons time assist set,positive,positive
445,unit unit wonder flight attend name leah lga den den anchorag,positive,positive
446,american americanair hour half land bag final trickl,negative,negative
447,airway usairway pleas peopl hold flight phoenix san jose pull gate schedul depart,neutral,negative
448,american americanair thank hire car chicago drive mke mean airport,negative,neutral
449,southwest southwestair right point kid fli often bought four round trip ticket dtw phx,negative,neutral
450,southwest southwestair ceo use vega band help connect peopl aviat busi market consumermarket,neutral,neutral
451,american americanair still look speak,neutral,negative
452,american americanair thank,positive,positive
