id,tweet,class
47,jetblu everi crew member dealt orlando incred rude actual pretti disgust jetblu right,negative
48,usairway stop cancel flight flight provid real help custom strandedinnashvill,negative
49,southwestair weather system outag hope everyth goe smooth thank follow,positive
50,jetblu btw thank respond quick,positive
51,southwestair airlin fli seen anyth like yet,negative
52,americanair thank truli appreci help sent,positive
53,usairway get baggag usaireay rdu,negative
54,southwestair inspir start airlin combat weak ass airlin sick shit,negative
55,jetblu dmed thank much address quick,positive
56,southwestair stuck fort lauderdal,negative
57,americanair go speak custom servic airport tomorrow morn see option need flight tomorrow,neutral
58,usairway amp americanair plane grandcayman,neutral
59,southwestair cancel flightl flight back queue want charg busi class stay classi,negative
60,jetblu vegecomgirl,neutral
61,americanair need apolog need fix compet manner,negative
62,unit thank,positive
63,southwestair thank info good day,positive
64,virginamerica fli love austin excel news,positive
65,unit chanc flight delay nervous drive dfw weather drop brother,neutral
66,southwestair step less shot step acknowledg custom place twitter step suck much,negative
67,unit dfpietra respons shake head back forth tsk better custom servic apolog,negative
68,usairway alreadi plan local boycott washington area,negative
69,unit tourist wonder super tide tide centuri french coast,neutral
70,southwestair bernhardtjh eventu get flight cancel flightl decid drive gave hold process refund,negative
71,americanair new time confirm may get cancel flightl travel kid need certain thx,neutral
72,unit sent thank,positive
73,usairway ticket agent gate provid airport rock tonight especi kristi sorri correct spell,positive
74,unit honest ruin fuck life right never,negative
75,southwestair make miracl custom servic depart gave far one friendliest phone call ever wheelsup,positive
76,southwestair old miss connect sleep oak get hotel dime rub wrong way wasnt late flight,negative
77,jetblu philli lost read program custom get hot tea great crewmemb top notch info amp book,positive
78,wow jetblu fleet fleek,neutral
79,usairway wife boston say snow right,negative
80,southwestair win alway save day got direct orlando ______,positive
81,unit much ski bag cost check bag contain pair ski one pair pole,neutral
82,unit thank help ill complet form back home,positive
83,jetblu thank alicia exceptionalservic,positive
84,usairway flight delay time arriv bhm,neutral
85,southwestair great thank best luck deal horribl winter,positive
86,southwestair thank quick repli travel lot much lol,positive
87,jetblu nope current sit gate,neutral
88,southwestair apolog accept customerservicewin itravelalot,positive
89,usairway hope last spoke baggag team sure citi bag,negative
90,southwestair saw ppl win ticket still win,neutral
91,americanair origin destin date go airway connect flight direct flight award saver level,neutral
92,unit pleas take membership away,negative
93,usairway hold captain late flight bag fit,negative
94,unit ask call get fix tweet question stall make thing wors phone number pleas,negative
95,southwestair realli carrier staf got tripl loop one employe sight okc,negative
96,jetblu let someon black twitter multimedia depart,negative
97,thank help shannon great custom servic southwestair,positive
98,jetblu bucketobolt,neutral
99,jetblu get semant mean within extent period still technic dictionari,negative
100,americanair email address send issu guy screw rebook flight wrong day pleas help,negative
101,americanair thank,positive
102,unit good man fault plane mainten issu,positive
103,southwestair thank left ipad plane fill lost found form yall found ship back thank flysw,positive
104,americanair thank,positive
105,unit battierccipuppi hope see board soon thank tweet,positive
106,southwestair sorri sat plane hour wait engin fix got luggag lost,negative
107,unit thank everyth,positive
108,unit delay connect custom servic today abl pay final respect dear famili member thank,positive
109,southwestair winner imaginedragon destinationdragon,neutral
110,jetblu fleet fleek hellobrittney_,neutral
111,southwestair mani left,neutral
112,southwestair dal due sleet sun eve see list citi book fli dca,neutral
113,southwestair still post downtown wait way,neutral
114,jetblu thank get boston earli tuftsenergyconf break barrier clean energi futur,positive
115,unit baftz rcvd promo book flight silver status would extend dont flier sent didnt think need,neutral
116,usairway suck ruin day vacat even june,negative
117,southwestair get tsa travel ad board pass would includ tsa precheck fli tomorro,neutral
118,southwestair thx grand view today flt seatac phx grandcanyon arizona wow love photographi,positive
119,usairway yes domest flight thank,positive
120,unit cancel flight flight reason amp phone hour vacat,negative
121,jetblu kid day work month advanc,neutral
122,unit hire pos pilot thank ruin trip allow see buddi turn unitedsucksdick,negative
123,jetblu flier gain access wsj content zacks_com,neutral
124,americanair thank keep safe,positive
125,americanair yes twice two differ flight occas,neutral
126,unit receiv flight unit truli break guitar unitedbreaksguitar wantmymoneyback,negative
127,jetblu bos ord,neutral
128,jetblu go san juan,neutral
129,virginamerica love guy song danc high school danc revu,positive
130,unit yes must fix broken ramp thank,positive
131,unit kinda funni worri,positive
132,unit everi unit flight saipan guam adventur never know capeair old plane oper,positive
133,southwestair ahhhh sorri follow,neutral
134,jetblu link flyfi,neutral
135,unit good flight thank,positive
136,southwestair hello swa poc partnership nonprofit organ bwi area,neutral
137,southwestair thank keep check tri book first disney world vacat,positive
138,jetblu ceo pilot among ardent fan wall street poughkeepsi journal,neutral
139,southwestair get companion pass thank lin,neutral
140,unit thank quick repli fill form idnumb hopetogetanswersoon,positive
141,usairway total understand weather frustrat thank,positive
142,love jetblu fleet fleek,positive
143,southwestair hello southwestair happi fli morn dal mdw look forward comfort fight,positive
144,usairway glad beamsk retweet otherwis would ignor numer tweet sent fuck amaz,positive
145,jetblu fleet fleek,neutral
146,unit quick respons offer assist lack follow realli servic expect,negative
147,usairway anoth dead end handl amp gave fail alreadi full lost,negative
148,americanair might look wife travel much could use membership,positive
149,americanair everyon els outstand,negative
150,usairway realli meal voucher hour flight delay virgin island,negative
151,southwestair gave ticket see imaginedragon velourl saturday even right haha thank,positive
152,unit need add servic dog itinerari tomorrow,neutral
153,jetblu well make sure never fli jetblu,negative
154,southwestair ticket line las vega unorgan mass crazi half ticket station unman,negative
155,virginamerica anoth perfect flight come plane sun visor stay carrier make rais,positive
156,unit upgrad first class nice way fix earlier mistak thank,positive
157,southwestair final hung hour abl get flight need stuckintampa,negative
158,jetblu thank servic credit pamgrout posit thought,positive
159,americanair place hold complet payment see way reserv page,negative
160,southwestair destinationdragon word winner contest chanc tix provo destinationdragon show finger cross,neutral
161,unit pleas follow,neutral
162,jetblu airbus wow awesom video guy great work blueman corevalu passion aerojobmarket avgeek,positive
163,americanair tri track back two attende help,neutral
164,americanair thank,positive
165,southwestair drop next time visit,positive
166,jetblu austin saw water bottl amp snack desk wait passeng flight book problem next flight,positive
167,jetblu awesom thank give call late flightr today appreci help,positive
168,southwestair flight go dalla morn thank,neutral
169,unit cldnt happier mani plastic wing pin given flight love amaz staff nice,positive
170,usairway updat hrs delay obvious isnt date havent board,negative
171,americanair inconveni disast phone bill refus pay,negative
172,southwestair seem odd sit plane get delay find txt emp work aircraft,negative
173,jetblu flight flight book problem experi pretti great,positive
174,southwestair watch crew flight help elder ladi plane firstclass,positive
175,unit look like connect delay make thank,positive
176,jetblu ninadavuluri _cool,positive
177,americanair second touchdown madrid airport april avgeek,neutral
178,usairway americanair burn lot time cell minut work flight issu hope fli home morn,negative
179,unit yes lhrt loung fantast one could remot similar,positive
180,unit fail set song unit break guitar lmao,neutral
181,virginamerica love team run gate ref las tonight wait delay flight kept thing entertain,positive
182,unit possibl add known travel number ticket flight book problem,neutral
183,unit first offic check prior departur ewr yesterday cell safeti,neutral
184,southwestair tweet sever time last week flight info storm alway time tweet back thx,positive
185,unit question futur flight book problem dub jac jac lax lax dub check bag allow jac lax,neutral
186,unit return busi ticket den fra fli domest bag check fra need claim,neutral
187,jetblu want custom long beach airport futur intern flight ericbradleypt briansum,neutral
188,unit see two flight two seat morn get,neutral
189,southwestair gotcha,positive
190,unit flight denver rmoug chedul time show know ridicul,negative
191,americanair still hold,negative
192,unit way contact flight work father pass head denver,negative
193,southwestair yeah bruh bool niggaz need hire worker someth caus next time imma forc disrespect,negative
194,usairway airway csr phoenix airport fix problem,neutral
195,jetblu sale pleas soon need tan,neutral
196,unit fantast job peopl today dublin jam pack plane crew wonder,positive
197,virginamerica atlant plough lone furrow middleeast thenationalua,neutral
198,chair selfi jetblu stacycrossb phlairport saharasam everyon look flawless proud phl crew bluehero,positive
199,unit highbuddyyi total suck cousin work phl said unit,negative
200,southwestair realli appreci bhm commerci air today bet bookofnegro,positive
201,americanair get hand call reserv reserv seat let select onlin fee,negative
202,jetblu think summer new nantucket servic digit journal,neutral
203,unit airlin rate worst america got work cut treat custom like garbag,negative
204,americanair keep dial guy day get callback queue,negative
205,unit dca ewr flight,neutral
206,unit intern flight get new eta air,negative
207,americanair thank charg anyth end good,positive
208,jetblu valentinesday email point amp clever thank amaz jetblu loveisintheair,positive
209,unit thank gate agent extraordinair seau fong help get book bois hope home nyc sometim tonight,positive
210,americanair thank two hour inflight hotel hang dfw travel delay team,negative
211,usairway churn rate increas second,negative
212,usairway need seat assign one leg famili return flight pleas help via twitter,neutral
213,jetblu jfk las still delay,negative
214,usairway bag land day late flight sfo still flight,negative
215,jetblu travel two kid tomorrow age domest need birth certif check airport,neutral
216,usairway great call fuck phone number hung,negative
217,americanair kudo ticket agent make passeng check bag big fit overhead,positive
218,americanair told flight amp cancel flightl seem date time chang wait call,negative
219,unit minut wait gate broken jetway differ gate mayb,negative
220,americanair chicago seen seat far great ride pdx,positive
221,southwestair flight delay hour anoth week anoth delay flight,negative
222,unit click link got confus,neutral
223,unit abl get seat earlier flight sfo ind add ord ind,neutral
224,americanair right two hour late flight seem due poor communic sound like annoy plane staff,negative
225,unit worst flight ever ground crew ignor plane made miss flight cover cost hotel den,negative
226,southwestair think great peopl work,positive
227,southwestair daytona avail free,neutral
228,unit allow shadi parti servic sell ticket refus help custom left hold bag flyunit,negative
229,jetblu mani choic south border know everi airlin equal lowest price best valu,positive
230,southwestair thank much your amaz go cri omg,positive
231,virginamerica awesom deal dal aus way,positive
232,unit even though technic land silver,neutral
233,usairway pleas keep emili gso airport ticket staff amaz,positive
234,jetblu realli flight bay area chicago anymor lame lame,negative
235,americanair mani trip come see soon,positive
236,southwestair bump preboard flight fat whatev reason thank,positive
237,americanair want chang avio,neutral
238,jetblu increas charter servic cuba travel agent,neutral
239,southwestair fli non stop cmh oak daydream trip bay especi weather ohioprobz,positive
240,southwestair atlanta,neutral
241,jetblu fleet fleek,neutral
242,jetblu info understand accur estim departur time earlier weather fine,negative
243,jetblu mom alway said never settl chip blue,neutral
244,southwestair look like februari open schedul sale octob know time,neutral
245,americanair hope see bad one opportun get better dwell good one encourag word,positive
246,americanair flight tomorrow status pleas thank,neutral
247,unit wonder bag claim peopl final bag catch earlier flight origin flight land wastedtim,negative
248,usairway think weird mileag,positive
249,southwestair flight cancel flightl monday look cancel flight credit card,negative
250,usairway pdquigley progress good luck patrick,neutral
251,unit clear luggag comment referenc photo attach flight jac,neutral
252,southwestair shhhh want someth els steal deal_,positive
253,unit look fare return companion flight understand addit fee necessari,negative
254,southwestair worri,neutral
255,southwestair speak custom servic hour still hold guy work nogood,negative
256,jetblu flight jfk sfo pure awesom mint class tim attend best airlin take note,positive
257,jetblu sloooooow today,negative
258,jetblu airway continu various commerci relationship lufthansa capa_avi,neutral
259,southwestair tri get custom destin help get anoth airlin flight day,negative
260,usairway gate supervisor emplid allow flight leav jfk feb custom made final board call,neutral
261,southwestair weather keep slow fault time southwest flight mine late flight complain,positive
262,unit thank lol wait per flightawar tail number,positive
263,unit thx,positive
264,southwestair flight tomorrow wed den bna delay cancel flightl,neutral
265,unit kept watch safeti video first time forev nice job,positive
266,southwestair say custom servic consist best,positive
267,americanair want chang flight next week still charg wait fligt status,neutral
268,southwestair easi,neutral
269,unit assum benefit appli reserv way partner diff res use combin res,neutral
270,unit soon done articl thank tom,positive
271,americanair well let handl reserv chang onlin amp reserv call hang wtf bullshit,negative
272,southwestair accept appl passbook app board pass app work iphon amp ipodtouch ipad,neutral
273,jetblu roxydigit good want extra peanut flight lol jvmchat,neutral
274,unit brother baggag lost rout panamerican cross countri cup championship columbia race sunday pleas help,negative
275,usairway min hold reserv line embarrass platinum member,negative
276,usairway check staff phx awesom great traffic control general board,positive
277,usairway row flight today look specif run home depot need,negative
278,unit comfort wait luggag,positive
279,jetblu yep still wait bag jfk holdup look like flight got time,negative
280,yall tri jetblu fleet fleek,positive
281,unit mention plane luggag luggag go mani day,negative
282,southwestair guy held flight thank take mdw oakland thank,positive
283,southwestair possibl add travel arrang employ upcom travel retriev reserv,neutral
284,southwestair amiltx forgiven love custom never left bae,positive
285,southwestair delaci compassion profession despit flight challeng made passeng feel like prioriti,positive
286,jetblu virgin wifi,neutral
287,jetblu guy rock,positive
288,southwestair fli southwest first time lga layov atlanta,neutral
289,jetblu beat jetblu space matter,positive
290,unit thank one month ago none weird club one busiest airport,positive
291,southwestair jason gate san made afternoon southwestairlin stellarservic thank,positive
292,virginamerica told check airlin regul first contact,neutral
293,jetblu tsparrow love cute,positive
294,unit attempt book ticket time kept get error messag hope still charg,negative
295,jetblu drop take two peopl vice versa back forth,neutral
296,jetblu hope fli often would hate chang airlin,neutral
297,usairway phone number gate gave work either custom servic phone number,negative
298,unit flight san fransico jfk evacu,negative
299,appreci repli southwestair luxclark sorri keep wait laura agent short,positive
300,southwestair want pick custom spiritairlin sign,negative
301,usairway take longer get gate flight take minut fli time minut runway far,negative
302,southwestair current cancel flightlat indianapoli girlfriend strand idea help provid,neutral
303,americanair yes much help guy,negative
304,unit exact,neutral
305,unit iep,neutral
306,usairway need help locat bag arriv denver last night midnight charlott flight hayden steamboat,negative
307,americanair thought plane retir,neutral
308,southwestair flight cancel flightl bwi pbi get monday chanc seat open flight,negative
309,americanair absolut,positive
310,americanair hope like photo,positive
311,usairway realli one book dividend mile travel liter hold sinc noexcus,negative
312,usairway delay depart flight attend land took hrs get gate anoth bag,negative
313,usairway year everi time air someth happen sat wait schedul flight hour say,negative
314,unit leav work would possibl would love replac,neutral
315,americanair awesom thx,positive
316,southwestair would like ask bag pick pit amp taken hotel airport someon contact,negative
317,jetblu fit,negative
318,jetblu get money peopl public apolog presid jet blue,negative
319,unit pls hold cnx pax frm runner min hold save fam frm miscnx pls twitter watch,neutral
320,southwestair sent additon info,neutral
321,southwestair learn give folk multipl flight day board posit least give board pass,negative
322,jetblu take cosmopolitan blacklist tri work,negative
323,americanair tri speak agent whole day cancel flightl flight,negative
324,usairway thank,neutral
325,usairway inexcus behavior gate agent sorri enough flight clt bna,negative
326,unit san diego chicago leav tomorrow,neutral
327,usairway team member dca tamara name awesom employe like,positive
328,virginamerica good home texa moodlight,positive
329,americanair compani polici refus employe speak employe phone interest,negative
330,eliza amp cheat americanair airtahitinui amp love flight back lot,positive
331,unit home next hrs gfc,positive
332,jetblu rout airport rebook ticket refund,positive
333,americanair clueless wait hear week refund cancel flightl flight amp hold min,negative
334,southwestair fact see black histori month month year honor econom base corp like futur,positive
335,unit followback plz,neutral
336,unit like continent chicken feat fair,neutral
337,unit terribl disappoint confirm reserv delay cust servic staff help find altern solut,negative
338,americanair hmm look like look tweet last month one abl get agent help thank,positive
339,usairway thank glad head home great peopl call center,positive
340,usairway suck pass save usairwaysfail,negative
341,usairway hour count kind travel voucher get,negative
342,___ jetblu fleet fleek,neutral
343,unit normal ask peopl put headphon toddler mayb plane kid section near back,neutral
344,americanair yes tomorrow work though realli mad situat,negative
345,americanair thank come thru great custom servic,positive
346,unit staralli good mayb make lose medallion probablynot,neutral
347,unit bag tag led mani peopl back aisl front bag,negative
348,southwestair southwest airlin cancel flight flight charleston flight cancel flightat realli weather relat flightd,negative
349,southwestair could put one baltimor,neutral
350,jetblu believ websit said could receiv credit upcom flight sinc cancel flight last one true,neutral
351,southwestair terri hero got husband back thru secur retriev cellphon left plane austin terri rock,positive
352,virginamerica submit status match request back still havent heard fli monday look acceler,negative
353,delet account jetblu,negative
354,jetblu come thought tampa,negative
355,unit tell cancel flight flight,negative
356,jetblu well last updat right direct least keep finger cross,positive
357,unit request onlin refund option deni say ticket use hope understand problem approach,negative
358,southwestair time chang guess,neutral
359,usairway suck even know mean conting plan,negative
360,yes thank much unit whitterbug see spoke reserv team reinstat flight thank,positive
361,americanair love new plane jfk lax run mayb one day one amen function nocharg ever,positive
362,americanair delta jetblu go stuck florida day spiritairlin hold connect flight lga,negative
363,unit yes wait four hour one abl help,negative
364,unit grandma ella would love birthday greet flight crew stewardess eastern airlin,neutral
365,jetblu thank much sure sinc know limit oz excit fli jetblu,positive
366,unit submit status match last week heard back delta custom look switch unit pleas assist,neutral
367,usairway test patienc even shall say morn wait hour gate find gate agent,negative
368,usairway realli fudgin delay justwantmyb,negative
369,southwestair love appreci fact guy rare cancel flight flight time need cancel flightlat time,positive
370,unit reinstat kosher meal drop short merger,neutral
371,southwestair flight msp cancel flight,negative
372,americanair true stop make excus either overbook crappi plane,negative
373,virginamerica appli posit flylaxairport wonder guy receiv applic,neutral
374,americanair thank respons twitter truli impress,positive
375,unit well final board hope take time quick well hour delay,negative
376,unit correct correct sorri lost,neutral
377,southwestair great flight got back time thank,positive
378,usairway got home hour suppos live airport offer monetari assist,negative
379,jetblu thank alway amaz custom servic bring disney princess half marathon,positive
380,jetblu note perfect fine attitud deal flyer stubborn demand unwil accommod,negative
381,jetblu wave someon behind step forward although explain happen indic need make flight,negative
382,southwestair contact know chang destin realli evalu thank,neutral
383,still think pjs may sold americanair momsgoodeat love board mandarinjourney come,positive
384,unit thank repli fill form submit request good know pay attent,positive
385,americanair flight attend announc transport wait flight think make,neutral
386,usairway nightmarish custom servic elit member appal,negative
387,jetblu thank help quick respons,positive
388,southwestair thank guy best,positive
389,americanair hung mani time tri cal crazi,neutral
390,americanair thank hope wed get back dfw,positive
391,unit love give shit peopl tri loyal screw everi way till sunday glad stay away,negative
392,unit send anoth confirm email,neutral
393,unit super comput ot pant lot cranki peopl line cmh reflight book problem delay check in time direct flyer,negative
394,jetblu got hot ladi fli air life loyal,positive
395,unit made mad call bag number person help told bag realli,positive
396,usairway far phone wait time longer abcnetwork oscar coverag whatcustomerservic,negative
397,southwestair what flight myer milwauke,neutral
398,usairway worst experi ever unabl help phone told last min cabin crew unavail flight never usairway,negative
399,usairway wait flight right thank,positive
400,unit allright last question power outlet flight avail premium cabin includ economi plus cabin,neutral
401,virginamerica view downtown los angel hollywood sign beyond rain mountain,positive
402,usairway hope voucher futur flight optimist,positive
403,southwestair imaginedragon info destinationdragon amp sammi_jon need know,neutral
404,unit far good step denver next stop portland,positive
405,southwestair realli step servic,positive
406,usairway tsa precheck show board pass flight tomorrow help usairway tsaprecheck,neutral
407,usairway phlairport answer flt still time ground gate need help pls,negative
408,virginamerica spruce moos,neutral
409,jetblu mint servic nyc san diego,neutral
410,unit got thank,positive
411,jetblu thank much condol quick respons much appreci,positive
412,usairway week,neutral
413,usairway flight first hour wait deadhead crew deadhead crew take overhead bin space pay custom annoy,negative
414,usairway kudo robin phxskyharbor lost found reunit ipad delight work,positive
415,americanair yes,neutral
416,jetblu guy know musician sensit safeti instrument fli good reason,negative
417,virginamerica dad segway best part whole infograph,positive
418,usairway told supervisor guarante empti seat standbi passeng flight cancel flightl sell,neutral
419,americanair hold hrs call either famili tri get hdn dfw flight direct need new info plz,negative
420,southwestair son fli south west nola orlando hope enter win contest destinationdragon,neutral
421,jetblu good,neutral
422,jetblu thank next weekend though guess higher,neutral
423,southwestair rapid award member point appli taken round trip,neutral
424,jetblu love never work day life,neutral
425,americanair lot upset peopl freez termin gate agent kept wait plane beyond allow time length,negative
426,jetblu okay thank check,positive
427,show larri fedora jetblu fleet fleek,positive
428,southwestair thank dming,positive
429,americanair worri love fli guy thank,positive
430,jetblu see board soon,positive
431,jetblu tell truth pic social media communiti manag,neutral
432,unit gate agent alavera amaz,positive
433,usairway guy nice give rout jet blue southwest least treat custom proper,negative
434,jetblu lekvhg want see cost would chang flight,neutral
435,southwestair updat emerg land jacksonvill right parentsonboard,neutral
436,jetblu thank take care drink sinc flight entertain work goodcustomerservic,positive
437,usairway notic believ saw confirm flight bought week ago def paid though help resend,neutral
438,americanair final call get met seattl refund process thank,positive
439,southwestair awesom flight dalla virgin america refus child peanut allergi guy thank ___,positive
440,americanair gabriela miami rude employe work mia lga check made experi unpleas customerexperi,negative
441,usairway still hold hour minut count platinum care problem check care,negative
442,unit thank,positive
443,southwestair need accommod loyal custom happi,negative
444,unit thank made,positive
445,jetblu start xweek embraersa flight washington reagan nantucket jun sep avgeek,neutral
446,unit sfo bos internet give,negative
447,got phone americanair custom servic minut get issu resol guy awesom,positive
448,jetblu thank call right,positive
449,unit understand pilot would get plane class empti coach seat near premier,neutral
450,jetblu fleet fleek wow,neutral
451,southwestair get luv fallow,neutral
452,unit thank rememb load bag onto connect flight wait forgot iceland fun cloth,negative
453,americanair late flightst usair earlier,neutral
454,unit concern address,negative
455,unit perfectomobil defin award employ year unit,neutral
456,usairway question question get past comput fastest know comput help,neutral
457,usairway made thx,positive
458,usairway mess caus comput system flight hour late flight gate est min wait,negative
459,americanair line half hour tri see repres might even miss next flight unaccept,negative
460,jetblu fleet fleek brandssayingba freberg,neutral
461,americanair thank share photo round applaus crew appreci hard work,positive
462,americanair might look wife travel much could use membership,neutral
463,southwestair great trip yesterday outstand flight attend,positive
464,southwestair wish would seen hour ago want see tonight bad cri,positive
465,unit understand thank,neutral
466,unit pleas premier platinum,positive
467,jetblu thank,positive
468,unit thank occur guy hour extra get bag due delay hour fail,negative
469,jetblu tri tire get grumpi,negative
470,southwestair chanc flight took count mean sign wifi air,neutral
471,timbennettg usairway cancel flightl sch departur snow yet flight still leav fail,negative
472,unit look beauti unit airlin hope like beauti,positive
473,americanair one airport help anoth custom got told flight leav till,negative
474,usairway think,neutral
475,southwestair big thank team famili emerg day ticket experi excel time fli yall last,positive
476,unit submit third time pleas check confirm receipt taken screen shot case disappear thank,negative
477,southwestair got taken care thank,positive
478,unit sit seat flight back vega chicago someon left folder look import seat pocket,neutral
479,southwestair sent detail,neutral
480,americanair tpa ord anoth success journey thank hospit,positive
481,jetblu use jetblu mile,neutral
482,southwestair yeah happen phx airport extra long wait spring long someth local know tourist fyi,neutral
483,americanair great seat aircraft,positive
484,southwestair mco dca flight almost full peopl screw msi dca cancel flightat unit usairway cancel flight swa mistak,negative
485,southwestair never got flight confirm hold hour get info onlin,neutral
486,americanair anticip weather relat flightd cancel flightat afternoon departur aus today,neutral
487,unit develop fli tmrw morn min layov earlier flight layov move,neutral
488,southwestair johnwayneair thank much,positive
489,southwestair hold min tri rebook flight cancel flightl help,negative
490,southwestair sent way thank help,positive
491,virginamerica getaway deal may one way lot cool citi cheapflight farecompar,neutral
492,jetblu go lga fll poor communic gate agent,negative
493,unit travel guest mileag plus member use member mile great custom servic,positive
494,americanair flight delay,neutral
495,jetblu cancel flight,negative
496,unit forelock guarante fare fare amp seat,neutral
497,unit awesom flight crew plane jurass period call want dinosaur plane back,negative
498,jetblu thank,positive
499,southwestair free watch daytona boss,neutral
500,usairway agre richard liter rip tix face made rude inappropri comment famili aw,neutral
501,virginamerica done thank quick respons appar faster sit hold,positive
502,americanair,neutral
503,southwestair big kudo staff today dalla love field lift everyon spirit today delay cancel flightlat,positive
504,unit thank den min tarmac,neutral
505,jetblu yes true bit pricey look love guy,positive
506,thank unit prompt assist,positive
507,unit thank lea chicago offic help switch cancel flight flight,positive
508,americanair let employe treat loyal custom attackingbabymomma crazinessintherocki,negative
509,virginamerica flight way suppos take minut ago websit still show time flight thank,neutral
510,unit unit flight arriv late flight told book connect unit flight character show,negative
511,unit fair enough usual rant good know someon listen,positive
512,unit never heard,negative
513,americanair also told agent issu prob fine get compass other deal,negative
514,southwestair love_dragonss holi fuckinf shit,positive
515,jetblu chging flight isit possibl pay fare differ dollar ticket bought complet via point redempt,neutral
516,southwestair hold long rebook cancel flightl flight enough time rebook usairway instead lot room,negative
517,jetblu airway continu various commerci relationship lufthansa capa_avi,neutral
518,usairway pleas peopl hold flight phoenix san jose pull gate schedul depart,neutral
519,usairway never fli airway american share nightmar stori mani other know fli,negative
520,unit someth miss check baggag,neutral
521,americanair apolog requir made home safe thank kudo,positive
522,usairway enorm line custom servic two agent kind servic,negative
523,usairway guesstim hold time chang flight onlin min count,negative
524,usairway anoth great flight funflightattend thank show dad wonder custom servic flt lax phx sundayfunday,positive
525,virginamerica ladygaga carrieunderwood juli andrew way though ladygaga impress carrieunderwood,positive
526,americanair thank updat,positive
527,jetblu love travel jetblu cant wait pari oui oui nyc awesomee,positive
528,jetblu awesom,positive
529,unit termin gate flt take termin gate swiss air,neutral
530,jetblu well paid ticket assign seat essenti flight unless pay,negative
531,unit formal complain custom servic handler misconnect deni board amp lost bag help,negative
532,unit iah ewr broken entertain system wifi despit info app,negative
533,virginamerica tri check look like site,negative
534,americanair wife flight cancel flightl told call one answer book flight help pleas,negative
535,southwestair go compens two plane chang atlanta right,neutral
536,americanair south snow atl,neutral
537,usairway peopl work counter dca massiv line poor play winterstorm,negative
538,southwestair northern california coast,neutral
539,americanair cancel flightl ticket take two month refund still wait,negative
540,jetblu run tweeter use word fleek,neutral
541,americanair someth wrong websit matter flight select say longer avail,negative
542,unit urgenc ridicul ceo claim custom focus yet delay happen plane sit custom,negative
543,jetblu appli job pdw could follow realli love job ilovejetblu,neutral
544,unit flight alreadi cancel flightl tri get home two day staff unhelp,negative
545,southwestair longer flight seri wifi great retir,negative
546,usairway like call tri sinc yesterday one answer,negative
547,unit look european flight attend pari frankfurt best fabric,neutral
548,americanair thank quick respons usual fantast custom servic shock,positive
549,virginamerica need chang reserv virgin credit card need modifi phone waiv chang fee onlin,neutral
550,virginamerica everyth fine lost bag,negative
551,jetblu know want pass along good experi esp someon fli time month,negative
552,americanair pictur taken time right totallyconfus,neutral
553,usairway still wait respons,negative
554,unit left bag houston last night freez cold memphi idea see tomorrow,negative
555,americanair dfwairport love live close alway great view,positive
556,southwestair hey rememb time lost husband bag filmjobnoequip nowarmcloth,negative
557,americanair happen know plane repaint fli sunset,neutral
558,virginamerica nice see expand texa forget sandiego would love see flight,neutral
559,usairway thank ask,neutral
