id,tweet,class
217,southwest southwestair pair ticket wait sport practic live definit know imaginedragon,positive
218,american americanair thank much,positive
219,american americanair continu win never miss flight nice littl quiet gate chang made possibl sheesh,positive
220,unit unit sent two week ago heard noth horribleservic unitedsuck,negative
221,southwest southwestair arriv late flight pilot got dia time impress outstand greatservic allgood,positive
222,american americanair got anoth flight thank,positive
223,unit unit unitedairlin pls fix aspenbaggagefail issu pay way aspen flight cancel flight left cold den,negative
224,southwest southwestair contact request chariti donat thankyou,neutral
225,delta jetblu well sure bold lol say believ,neutral
226,southwest southwestair aarp tfw appreci tweet back unexpect,positive
227,airway usairway anoth twist plot took miami return due unsecur cargo door stress vacat ever,negative
228,southwest southwestair excit perhap could scale excit back week,positive
229,delta jetblu thank possibl chang,neutral
230,virgin america virginamerica need start fli kciairport _____,neutral
231,southwest internjohnradio mrerickv give southwestair plane back mad amp threaten take away companion pass luv,neutral
232,southwest southwestair realli love custom servic lou ann phx rock thank ourguest,positive
233,american americanair alreadi turn itov appar lose someon bag honeymoon requir account,negative
234,unit unit go min wait plane vacat gate findanotherg,negative
235,southwest southwestair absolut send,neutral
236,delta jetblu schedul,negative
237,southwest southwestair wanna say incred send peopl see idol sooooo kind amazing_ destinationdragon,positive
238,airway usairway alreadi let know sent complaint got call back final asleep return call back,negative
239,delta jetblu status flight divert ric depart back lga,neutral
240,american americanair tri desper get boyfriend book airway flight price help,neutral
241,southwest southwestair airlin troubl amp get satisfactori custom servic contact negoti resolut,neutral
242,unit unit wifi flight ord realli wow,negative
243,southwest southwestair get luv fallow,neutral
244,unit unit got gate thank check,positive
245,unit unit book flight view reserv connect first name problem chang,neutral
246,virgin america virginamerica congrat new rout,positive
247,delta jetblu must send note good word,positive
248,unit unit husband,neutral
249,delta jetblu sound good ____,positive
250,southwest southwestair easi,neutral
251,unit unit speak real person get resolv polit effici,negative
252,airway usairway pleas thank melli cae tammi baggag claim clt excel custom servic day complaint,positive
253,southwest southwestair thank respons abl get situat resolv fan mother natur today,positive
254,unit unit pleas give special thank aaron tampa offic help liter two hour amaz mission accomplish,positive
255,unit unit thank lack help can respons desk,negative
256,southwest southwestair greet,neutral
257,unit unit mom left kindl flight today burgundi case light seat anyon find,neutral
258,delta jetblu thank miss much link blog chang,positive
259,american americanair sure run version,neutral
260,southwest southwestair jamesasworth worst corpor account manag brent take plus flight delta thank,negative
261,airway usairway mess caus comput system flight hour late flight gate est min wait,negative
262,unit unit board time show min gate agent start show check bag,negative
263,airway usairway problem funni nice day,neutral
264,delta jetblu use jfk sea summer first flight ever mint seattl core config,neutral
265,unit unit glad wait hour minut ive transfer time without resolv anyth worst servic ever,negative
266,delta jetblu yep still wait bag jfk holdup look like flight got time,negative
267,unit unit plan ipad app iphon app great ipad flip ipad beta tks,neutral
268,southwest southwestair could care custom reason request,negative
269,unit unit spend minut beat ladi bag fee random stranger come pay fee randomactsofcorporategre,negative
270,southwest southwestair thank sent let know oyu need addit inform,positive
271,unit unit need confirm number give,neutral
272,american americanair flight delay hour wait sit plane baggag load,negative
273,southwest southwestair next flight free cocktail,neutral
274,airway usairway year naval servic run travel depart command,negative
275,american americanair contactcej thank,positive
276,unit unit ask patient without offer someth return,negative
277,delta lol guy month ago jetblu fleet fleek,positive
278,southwest southwestair thank two smooth safe fast flight boston houston luvswa,positive
279,unit unit sorri wrong link bag that one meant,neutral
280,unit unit law polici,neutral
281,southwest look forward use passbook fli southwestair week,positive
282,unit unit yes hour land,neutral
283,unit unit correcti spent hour tri book onlin receiv error click final purchas button,negative
284,southwest southwestair friend lucki enough see destinationdragon live birthday fan year thirty_l,negative
285,unit unit iamtedk click loung tab need fli support airlin,neutral
286,airway usairway shut data flight want respons time land hour,neutral
287,delta jetblu whose perform ref,negative
288,virgin america virginamerica promot product problem southwest recommend noneoth best,positive
289,unit unit thank offer sort,positive
290,airway usairway emboss badg patch superior one current use,neutral
291,southwest southwestair develop ding chrome firefox browser extens would swell,neutral
292,airway usairway amp add upgrad list flt tonight,neutral
293,unit quick unit auciello sorri hear pleas follow detail transpir,positive
294,american americanair nlrphoto beauti photo thx would market dept interest buy,positive
295,unit unit look forward fli guy well,positive
296,airway usairway spoke repres move flight earlier thank much follow,positive
297,american americanair hold custom servic line minut phone agent min call drope,negative
298,american americanair number even let wait next custom rep frustrat talk human,negative
299,unit unit purchas ticket unit card give prioriti board,neutral
300,american americanair tisk tisk rude flight attend yet hang suit buy first class delta learn,negative
301,airway usairway sad tri airport agents_no flight strand phl chanc hotel,neutral
302,unit unit sorri delay respons chicago san fran held almost hour tarmac also lost bag,negative
303,american americanair thank,positive
304,delta jetblu ruth_slobodin sure love see ruth justdoit youknowyouwantto know well,positive
305,southwest southwestair forgot put tsa pre number check profil board pass,neutral
306,virgin america virginamerica brought way across countri today see,neutral
307,airway usairway americanair joke compani today remind never book,negative
308,delta jetblu agre frequent tweeter discount could fli see friend tinmanironman meggersrock,positive
309,unit unit thnx,positive
310,american americanair need someon help,neutral
311,airway usairway wors experi clt oversold lost carri luggag cancel flightl connect flight nyc flydelta,negative
312,unit unit would help integr app activ surf,positive
313,unit unit alway happi start life new wife travel delay due maintenec would appear incompet,negative
314,airway usairway fli quit bit difficult communic agent let peopl know happen arrang made,negative
315,american americanair,neutral
316,airway usairway flight phx ord lead bill profession seen year fli usair card,positive
317,american americanair true americanview nation mall,neutral
318,delta jetblu yes announc take thank,positive
319,airway usairway kid bad custom servic folk flew psp phx flight cont,negative
320,virgin america virginamerica love danc littl richard cool bean,positive
321,airway usairway thank next time,positive
322,delta jetblu flight attend wendi flt newark orlando,positive
323,delta jetblu thank make trip home mintyfresh next brandmanc flight take selfi love travel busi,positive
324,american americanair btw guy consid make loung austin intl airport popul flightd area help compani sure_,positive
325,unit unit app show arriv aircraft earli depart flight delay due late flight arriv aircraft unfriend,negative
326,delta jetblu viraltech creat institut qualiti machin driven jetblu revenu predict analyt forecast use public big data,neutral
327,southwest southwestair love_dragonss lauren omg dead happi yes yes,positive
328,american americanair idea wait time refund usairway told day phone well past,negative
329,unit unit submit respons link sent,neutral
330,unit unit fail uncontrol today beyond repair beyond livid absolut disregard oper,negative
331,unit unit pls post video belliger jerk rant sfo go sue make check bag hoot,negative
332,delta love jetblu fleet fleek,positive
333,airway usairway work tiffani cust servic desk charlott help patient still stuck great,positive
334,unit unit code airfar refund,neutral
335,delta jetblu disney bound workhard playsoon,neutral
336,southwest southwestair know reason flight dalla midland divert lubbock suppos direct midland,neutral
337,delta jetblu crisi avert flight bos fll board let hope new pilot clarenc oveur roger murdock,positive
338,airway usairway thank,positive
339,southwest southwestair would realli like baggag yesterday employe akron give tough time,negative
340,southwest southwestair resourc check delay cancel flightlat love field fli tomorrow stress weather,neutral
341,unit unit suppos deliveri believ see,negative
342,delta jetblu guess wait anoth hrs hope rate goe amp reason finger cross cut close travel date,neutral
343,southwest southwestair thx grand view today flt seatac phx grandcanyon arizona wow love photographi,positive
344,airway usairway thank usairway fare dtw dca much lower delta southwestair thank,positive
345,delta jetblu super smooth flight land nice done,positive
346,american americanair dmed name,neutral
347,airway usairway eye look pandu better chanc bring home,negative
348,american americanair heymynameissean sean look schedul sometim give clue new airplan use,neutral
349,southwest southwestair thnx hope nxt flight got show wknd worst case turn sweatshirt insid,negative
350,delta jetblu fleet fleek,neutral
351,american americanair late flightst usair earlier,neutral
352,delta jetblu airway corpor nasdaq jblu reach new high rang streetwis report,positive
353,southwest southwestair worri best alreadi cancel flight biz trip still luv,positive
354,southwest southwestair congrat fan see destinationdragon slc next thank,neutral
355,unit unit custom care email phone rep speak mani issu place charact,negative
356,unit unit report still istanbul moment appar plane haha hat pilot,positive
357,unit unit free like airlin anymor,negative
358,southwest southwestair appreci repli hope lax agent get memo cheer,positive
359,delta jetblu mayb cleveland instead,neutral
360,airway usairway got home need bag direct desk number savannah,negative
361,unit unit plan reduc delay,neutral
362,delta jetblu greatest airlin ever truebluepoint jetbluememb,positive
363,airway usairway issu travel advisori clt thursday signific snow storm way wednesday night,neutral
364,virgin america virginamerica thank much,positive
365,delta jetblu cpap machin sleep apnea carri also small bag cloth,neutral
366,southwest southwestair check grader school scienc fair project love fli southwest airlin,neutral
367,unit unit nightmar side flight disast houston get attitud cuz sent ticket counter,negative
368,airway usairway haha worri guy best spell name correct,positive
369,unit unit captain apolog delay compani look open gate glanc starboard side see open gate,neutral
370,delta jetblu follow pleas,neutral
371,american americanair aww thank dfw gma understand btw airlin abl trv love guy,positive
372,delta jetblu love song thank jetblu,positive
373,american americanair standbi line updat onlin app either troubl,negative
374,southwest southwestair let plane toilet done even work goe famili vacay playa del carmen mexico neveragain,negative
375,unit unit need get cousin pdx day travel hire sitter til arriv thx,negative
376,southwest southwestair stream mean get spend flight watch women world cup final throwback bestflightev,positive
377,unit unit learn book flight,neutral
378,american americanair charact enough describ inconsider employe,negative
379,delta thank jetblu next see slog jfk citi goe,positive
380,airway usairway promis help nvr fli even pay fli sum els badcustomerservic,negative
381,southwest southwestair shout flight crew take amaz care doubl flight thankyou,positive
382,delta jetblu okay actual tea kinda guy anyway thank,positive
383,unit unit let assur travel time timezon accuratetraveltim rdtimethishashappen,negative
384,southwest southwestair male flight attend flight orlando indi amaz need rais best experi,positive
385,unit unit thank got straightend last night,neutral
386,southwest southwestair offer atlanta unpreced perk,positive
387,unit unit ord roc fam came see sna member dad use mile,neutral
388,unit unit flight let look like clown one give class,negative
389,virgin america virginamerica pleas contact portfolio left flight jfk sfo tonit seat need return call,neutral
390,delta jetblu credit repli ill look forward hope one flight home tonight,positive
391,southwest southwestair left ipad flight erw den open claim mani memori plz help get back,negative
392,southwest southwestair expect open reserv novemb,neutral
393,american americanair car accid way airport miss flight rno dca tri resch line wait,negative
394,delta jetblu haha thank guy great unlik nyjet gopatriot,positive
395,virgin america virginamerica karinsle cours fun celebr thank happi chines new year,positive
396,unit unit help get flight tonight houston want stuck till monday bad weather move,neutral
397,american americanair flight dalla jacksonvill cancel flightl one notifi go,negative
398,unit unit teach gate agent lie learn overhead space bag check,negative
399,american americanair get free ticket hawaii fabul,neutral
400,airway usairway fam that suppos fli current hosp trys speak human phone sys cut pls hlp,negative
401,delta jetblu daughter colleg game denver one set parent ___,neutral
402,delta jetblu thank realli respond request send generic environ site,negative
403,virgin america virginamerica hahaha virginamerica guy amaz love guy,positive
404,unit unit lock account need access book flight,negative
405,southwest southwestair follow pleas need confirm cancel flight reserv,neutral
406,southwest southwestair fli southwest first time lga layov atlanta,neutral
407,airway usairway aurorabiz check bag phlairport bag handler broke suitcas stole camera bag return trash bag,negative
408,airway insult usairway americanair offer non requir voucher goodwil offer least bag fli round trip,negative
409,southwest southwestair unfortun lack status big problem compani polici forc buy cheapest ticket,neutral
410,southwest southwestair bag late flight check put differ flight oak msi troubl track help,neutral
411,unit unit fyi went similar flight last week,neutral
412,delta jetblu welcom ___,positive
413,airway usairway said meal flight would airlin serv food anymor updat polici,negative
414,southwest southwestair may companion pass pleas,neutral
415,delta jetblu dont get wrong love fli free bag descent fare recent plane problem annoy,negative
416,unit unit need get togeth flight cancel flightl strand car baggag lost never get right,negative
417,delta jetblu thank get boston earli tuftsenergyconf break barrier clean energi futur,positive
418,airway usairway suck delay mom flight cancel flightl delay flight today mech issu sleep airport,negative
419,airway usairway tell reserv rebook,neutral
420,delta jetblu airlin troubl winter amp get good custom servic contact negoti resolut,neutral
421,unit unit costum servic suck wait week respons,negative
422,delta jetblu wish best luck enjoy luxuri free amount leg space thank,positive
423,unit unit human contact mths americanair cust relat refund dept ever problem human talk,negative
424,southwest hillaconlin southwestair get solar charger amazon game changer plug usb charg,neutral
425,delta jetblu ceo battl appeas passeng wall street waterburi republican american,neutral
426,american americanair tcunningham pleas call back rebook need get columbus,negative
427,american americanair get class discount wifi fli airlin approx,neutral
428,american americanair sorri equip passeng allow return plane,neutral
429,airway usairway unus fund book usairwaysfailscustom,negative
430,unit unit thank kind agent went amp beyond get strand famili home,positive
431,delta jetblu got yet way lax nyc cost,neutral
432,unit unit would like know possiabl checkin onlin must done schiphol,neutral
433,airway usairway anoth great flight funflightattend thank show dad wonder custom servic flt lax phx sundayfunday,positive
434,american americanair look go abl get time flight,neutral
435,delta jetblu fleet fleek alynewton new fav airlin,positive
436,american americanair thank packermama,positive
437,delta jetblu btw robin hay speak next month uschamb aviat summit ought give shout twitter team rock,positive
438,delta jetblu pilot state year fli never experienc anyth like gettingoffplan,negative
439,unit unit thank abl claim interim expens cost stuff,positive
440,southwest southwestair husband hold hrs got disconnect new wait min confirm res due fact book line nut,negative
441,american americanair like explor option cost might chang date destin,neutral
442,american americanair american airlin,neutral
443,delta jetblu backlog hour two unaccept,negative
444,unit unit unitedapp kind hypocrisi cancel flightl ticket bad exchang rate advantag unit,negative
445,unit unit next day,neutral
446,unit unit okay thank,neutral
447,delta sir jetblu fleet fleek,negative
448,unit unit annricord,neutral
449,unit unit flew unit last month experi awesom,positive
450,southwest southwestair okay sign,neutral
451,southwest southwestair got thank insight happen tomorrow,neutral
452,unit unit awesom thx thx repli damn fast sure hell beat cheez hold music,positive
453,virgin america virginamerica tri book ticket nyc face super fun broken style worri keep tri,negative
454,unit unit think fli help,negative
455,unit unit ord lhr bag load min late flight frigid air cabin plane feel like fall apart upgrad long haul fleet,negative
456,delta pleas jetblu fleet fleek,neutral
457,unit unit unitedairlin long delay,negative
458,unit unit leav work would possibl would love replac,neutral
459,delta jetblu flight ffl lga schedul departur,neutral
460,southwest southwestair netneutr nice see priorit internet traffic stream servic web site,positive
461,american americanair dfwairport togeth best part fli,positive
462,unit unit comfort wait luggag,positive
463,unit unit flight cancel flightl ridicul,negative
464,southwest southwestair flight book fli standbi allow check flight take,neutral
465,delta jetblu flight proud fli jet blue,positive
466,airway usairway flight fro orf phl,neutral
467,unit unit think actual like screen campilley ___,negative
468,delta jetblu final start come minut communic accept let today,negative
469,american americanair name email aadvantag websit let reset password troubleshoot togeth thank,neutral
470,southwest southwestair amaz view approach lax tonight,positive
471,american got phone americanair custom servic minut get issu resol guy awesom,positive
472,unit unit still wait hear back wallet stolen one plane would appreci resolut,negative
473,american americanair cancel flight flight send email text call put way earlier flight might miss thank,negative
474,airway usairway oke doke,neutral
475,airway usairway welcom north texa air american air employe hous educ great opportun state texa,positive
476,american americanair kudo ticket agent make passeng check bag big fit overhead,positive
477,delta jetblu pilyoc dont talk friend jetblu like thefutureisweird,neutral
478,delta jetblu ceo battl appeas passeng wall street waterburi republican american,neutral
479,american americanair abil anywher ticket counter cust servic onlin done,neutral
480,southwest southwestair strive custom centric everyth communic advertis custom journey etc anamarket,positive
481,american americanair first class passeng request sand coach,neutral
482,airway usairway accur safeti guid shown player usag takeoff land,neutral
483,delta jetblu site troubl mobil check,neutral
484,airway usairway useless tweet ever seen,negative
485,delta jetblu ferrissalameh love jetblu speedi twitter custom servic,positive
486,delta jetblu hello husband bought trip last night amp notic last name misspel thank,neutral
487,unit unit club denver dope,positive
488,american americanair book onlin unabl cancel flight onlin final got thru,neutral
489,unit unit relax space drink flight unit global first loung,positive
490,unit unit funni flight yesterday delay mechan issu rotten luck get plane row issu,negative
491,unit unit howev complet controlth price still display,negative
492,airway usairway nervous flight tomrw key west friend custom servic,negative
493,american americanair guy work never fli guy,negative
494,airway usairway need get togeth,neutral
495,unit unit hello wonder long might take turkish airlin flight show unit mile thank,neutral
496,airway usairway understood sympathet get back pay especi switch flight,negative
497,american americanair yes say deliv within hour pick line,positive
498,virgin america virginamerica cool never plane,positive
499,southwest southwestair understand consist consist year known around countri,negative
500,southwest southwestair left someth plane land midway last night respons adult got number call,neutral
501,airway usairway new dfw clt morn great job well done,positive
502,unit unit custom servic experi tweet qualiti assur,negative
503,delta jetblu would love fli best friend home pvd weekend,positive
